pd_band,count,mean_pd,observed_bad_rate,min_pd,max_pd
1,3755,0.008358820507091335,0.004793608521970706,0.0045073239564679,0.0102254607391806
2,3781,0.011707447156049091,0.00899233007140968,0.010226070146393,0.0130565734233393
3,3718,0.014527644658814136,0.006993006993006993,0.0130586713207699,0.0160827810307469
4,3746,0.01798256636662417,0.014949279231179925,0.0160845074972256,0.0199312945563982
5,3751,0.022698900112853155,0.022127432684617435,0.0199340830401691,0.0258371547427974
6,3749,0.030469484157434133,0.030141371032275273,0.0258413366295022,0.0360073313413766
7,3754,0.043841889150821475,0.044752264251465106,0.0360080111106381,0.0535181001409698
8,3747,0.06743153447289459,0.07632772884974647,0.0535254072200917,0.0836151817684654
9,3750,0.10937185262873025,0.11733333333333333,0.0836176632555629,0.1468733617109497
10,3749,0.3466010364884827,0.34222459322486,0.1469462423181045,0.8905627078925826
