variable,psi,interpretation
MonthlyIncome,0.0007086203543840244,no significant shift
score,0.0003433069731387719,no significant shift
DebtRatio,0.00022941483043226546,no significant shift
RevolvingUtilizationOfUnsecuredLines,0.00019238551091499268,no significant shift
NumberOfDependents,0.0001262439316773897,no significant shift
age,9.667025029273095e-05,no significant shift
NumberRealEstateLoansOrLines,7.017469847672903e-05,no significant shift
NumberOfTime30-59DaysPastDueNotWorse,1.5261462000867134e-05,no significant shift
NumberOfTimes90DaysLate,1.3040697031149649e-05,no significant shift
